aggregation_level,condition,prompt_id,model_id,family,n_contributors,outcome,estimate
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,behavior_mean,1.2
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,belief_post,2.5
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,concern_mean,1.5
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,distrust_post,-1.8
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,donation_ams,0.15
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,funding_perceptions,1.3
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,inst_trust_mean,1
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,newsletter_signup,0.01
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,policy_general,1.4
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,policy_role_mean,1.5
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,policy_specific_mean,1
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,trust_multidimensional,2
prompt,Consensus,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,trust_post,2.2
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,behavior_mean,1.2
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,belief_post,2.5
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,concern_mean,1.5
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,distrust_post,-2
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,donation_ams,0.15
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,funding_perceptions,1.3
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,inst_trust_mean,1
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,newsletter_signup,0.01
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,policy_general,1.5
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,policy_role_mean,1.8
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,policy_specific_mean,1
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,trust_multidimensional,2.2
prompt,Consensus,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,trust_post,2.5
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,behavior_mean,0.8
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,belief_post,1.2
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,concern_mean,0.9
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,distrust_post,-1.3
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,donation_ams,0.12
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,funding_perceptions,0.7
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,inst_trust_mean,0.6
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,newsletter_signup,0.008
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,policy_general,0.8
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,policy_role_mean,1
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,policy_specific_mean,0.6
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,trust_multidimensional,1.5
prompt,Corporate reliance,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,trust_post,1.6
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,behavior_mean,1.2
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,belief_post,1.8
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,concern_mean,1.3
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,distrust_post,-2.5
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,donation_ams,0.15
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,funding_perceptions,1.1
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,inst_trust_mean,1
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,newsletter_signup,0.01
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,policy_general,1.3
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,policy_role_mean,1.5
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,policy_specific_mean,0.9
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,trust_multidimensional,2.8
prompt,Corporate reliance,tier3_direct_forecast_v2,claude-opus-4-6,Anthropic,1,trust_post,3
prompt,Extreme weather predictions,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,behavior_mean,1.2
prompt,Extreme weather predictions,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,belief_post,1.5
prompt,Extreme weather predictions,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,concern_mean,1.3
prompt,Extreme weather predictions,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,distrust_post,-1.4
prompt,Extreme weather predictions,tier3_direct_forecast_v1,claude-opus-4-6,Anthropic,1,donation_ams,0.15
